dark eclipse moon
3. D:\Corpus\Concorde.txt score=0.17278837
4. D:\Corpus\Aeroflot.txt score=0.16868798
5. D:\Corpus\Novosibirsk.txt score=0.13506338
6. D:\Corpus\Solar_eclipse_of_May_20,_2012.txt score=0.12568836
7. D:\Corpus\Indian_Ocean.txt score=0.12504083
8. D:\Corpus\Airport_(TV_series).txt score=0.11476593
9. D:\Corpus\Turkey.txt score=0.08544058
10. D:\Corpus\Synchronous_grid_of_Continental_Europe.txt score=0.08540531
11. D:\Corpus\France.txt score=0.07446803
12. D:\Corpus\Slovenia.txt score=0.06622103
13. D:\Corpus\Jeremy_Spake.txt score=0.06559419
